DateTimeOccurred,Status,DateTimeReported,Code,Location,Comments,Filename
2014-09-06 10:10:00,CLOSED,2014-09-09 13:03:50,LOSTPROP,E62 / 100 MAIN ST,SECTOR 1 RESPONDS TO A REPORT OF A LOST OR  STOLEN CELL PHONE. ,
2014-09-02 15:00:00,OPEN,2014-09-10 13:16:43,LARCENY,M7 / 77 MASSACHUSETTS AVE,TWO WAY RADIO STOLEN ,
2014-09-12 21:45:00,CLOSED,2014-09-13 14:30:08,LARCENY,W84 / 550 MEMORIAL DR,. STOLEN BICYCLE REPORT ,
2014-09-12 17:00:00,CLOSED,2014-09-13 16:33:40,LARCENY,W84 / 550 MEMORIAL DR,RP REPORTS BICYCLE STOLEN ,
2014-09-12 12:00:00,OPEN,2014-09-14 13:08:20,LARCENY,428 MEMORIAL DR,No. 6 /   . PAST LARCENY OF CREDIT CARD ,
2014-09-12 20:00:00,OPEN,2014-09-15 12:51:04,LARCENY,M35 / 127 MASSACHUSETTS AVE,AND   DESTRUCTION OF   PROPERTY           NO REPORTS OF RESIDENTIAL FIRES .0 REPORT OF DAMAGE TO A ROOM AND ITEMS STOLEN. ,
2014-09-15 13:50:00,OPEN,2014-09-15 14:04:11,LARCENY,M32 / 32 VASSAR ST,PERSON LEFT BACKPACK CONTAINING A LAPTOP IN ROOM FOR ABOUT 10 MINUTES AND UPON HIS RETURN EVERYTHING WAS GONE. ,
2014-02-26 10:24:00,OPEN,2014-09-16 10:24:54,HARASS,E14 / 75 AMHERST ST,SECTOR 1 RESPONDS FOR REPORT OF HARASSMENT VIA E- MAILS ,
2014-09-15 15:00:00,CLOSED,2014-09-16 10:49:54,LARCENY,W51 / 410 MEMORIAL DR,WEST CAR TAKES REPORT STOLEN BIKE FROM W51 AREA ,
2014-09-16 14:50:00,OPEN,2014-09-16 15:08:16,LARCENY,E53 / 30 WADSWORTH ST,BACKPACK CONTAING A CELL PHONE AND LAPTOP LEFT UNATTENDED FORFIVE MINUTES STOLEN. ,
2014-09-16 18:15:00,OPEN,2014-09-16 20:50:51,LARCENY,W35 / 100 VASSAR ST,R/P REPORTS THAT HIS CREDIT CARD AND ID WHERE STOLEN FROM HIS WALLET WHILE AT THE ZESIGER CENTER. SECTOR OFFICER NOTIFY. ,
2014-09-17 10:04:00,OPEN,2014-09-17 10:19:31,SHOPLIFTING,W20 / 84 MASSACHUSETTS AVE,REPORT OF MALE WHO STOLE ITEMS FROM RETAIL STORE. ,
2014-09-17 11:00:00,CLOSED,2014-09-17 17:42:47,LARCENY,M34 / 50 VASSAR ST,REPORTING THAT HIS BIKE WAS STOLEN ,
2014-09-11 20:15:00,CLOSED,2014-09-18 10:50:28,SUSPICIOUS,W84 / 550 MEMORIAL DR,REPORT OF SUSPICIOUS EMAILS. ,
2014-09-19 13:49:00,CLOSED,2014-09-19 13:49:16,SUSPICIOUS,W35 / 100 VASSAR ST,A REPORT OF A SUSICIOUS PERSON IN THE LOCKER ROOM AREA. ,
2014-09-19 14:13:00,CLOSED,2014-09-19 14:13:20,SUSPICIOUS,M1 / 33 MASSACHUSETTS AVE,A STOP ON THREE KIDS THAT WERE TRYING TO TAKE   BIKES. TRESPASS WARNING ISSUED ,
2014-09-19 17:16:00,CLOSED,2014-09-19 18:16:17,SUSPICIOUS,NW14 / 150 ALBANY ST,REPORT OF POSSIBLE HOMELESS PERSON IN THE BUILDING. ,
2014-09-04 09:00:00,OPEN,2014-09-20 14:26:57,FRAUD,OFF CAMPUS ,PERSON REPORTS HIS IDENTITY WAS STOLEN. ,
2014-09-21 04:57:00,CLOSED,2014-09-21 04:57:06,ATTEMPTED B&E,WILG / 355 MASSACHUSETTS AVE,"REPORT OF SEEING SOMEONE OUTSIDE THE WINDOW, OFFICERS SEARCHED THE INTERIOR AND EXTERIOR OF THE HOUSE. NO SUSPICOUS PERSON FOUND. ",
2014-09-21 22:30:00,CLOSED,2014-09-21 20:32:25,SUSPICIOUS,W85 / 540 MEMORIAL DR,"R/P REPORTING THAT SHE SEES 4 WHITE MALES ALL WEARING HOODY SWEATSHIRT AND JEANS ATTEMPTING TO STEAL BIKE FROM THE BIKE RACK. INFORMATION WAS GIVEN TO ALL UNITS. 287, 290, 284, 289 RESPONDING. ALL UNITS CLEARED, GOA, ",
2014-07-15 11:19:00,OPEN,2014-09-22 10:44:44,MISSING PERSON,OFF CAMPUS ,WEST CAR RESPONDS TO STATION FOR REPORT ON MISSING PERSON PARTY IS MIT ALUM ,
2014-07-15 11:19:00,OPEN,2014-09-22 10:44:44,MISSING PERSON,OFF CAMPUS ,WEST CAR RESPONDS TO STATION FOR REPORT ON MISSING PERSON PARTY IS MIT ALUM ,
2014-09-22 15:16:00,OPEN,2014-09-22 15:16:43,SEXUAL ASSAULT,SENIOR HOUSE/3 AMES ST,CAMPUS RESIDENCE HALL REPORT OF INDECENT SEXUAL ASSAULT   . ,
2014-09-22 15:16:00,OPEN,2014-09-22 15:16:43,SEXUAL ASSAULT,CAMPUSRESIDENCE HALL,REPORT OF SEXUAL ASSAULT ,
2014-09-22 11:00:00,CLOSED,2014-09-22 15:29:56,LARCENY,M1 / 33 REAR MASSACHUSETTS AVE,LARCENY OF BICYCLE FRAME AND  TIRE. ,
2014-09-22 11:00:00,CLOSED,2014-09-22 15:29:56,LARCENY,M1 / 33 MASSACHUSETTS AVE,LARCENY OF BICYCLE FRAME AND REAR TIRE. ,
2014-09-22 18:42:00,CLOSED,2014-09-22 18:42:41,ACCIDENT,158 ALBANY ST,SOMEONE HIT HIS MOTOR VEHICLE WHILE PARKED IN THE LOT AND LEFT SCENE. ,
2014-09-22 18:42:00,CLOSED,2014-09-22 18:42:41,ACCIDENT,158 ALBANY ST,SOMEONE HIT HIS MOTOR VEHICLE WHILE PARKED IN THE LOT AND LEFT SCENE. ,
2014-09-19 17:00:00,CLOSED,2014-09-22 19:13:23,LARCENY,W51 / 410 MEMORIAL DR,LARCENY OF BICYCLE WHEEL ,
2014-09-19 17:00:00,CLOSED,2014-09-22 19:13:23,LARCENY,W51 / 410 MEMORIAL DR,LARCENY OF BICYCLE WHEEL ,
2014-09-12 13:49:00,CLOSED,2014-09-24 13:28:05,LARCENY,M32 / 32 VASSAR ST,SECTOR 4 TAKES REPORT STOLEN BIKE ,
2014-09-12 13:49:00,CLOSED,2014-09-24 13:28:05,LARCENY,M32 / 32 VASSAR ST,SECTOR 4 TAKES REPORT STOLEN BIKE ,
2014-09-22 17:30:00,CLOSED,2014-09-24 17:58:03,LARCENY,253 COMMONWEALTH AVE,RP STATES HER BACKPACK WAS STOLEN. ,
2014-09-22 17:30:00,CLOSED,2014-09-24 17:58:03,LARCENY,253 COMMONWEALTH AVE,RP STATES HER BACKPACK WAS STOLEN. ,
2014-09-25 06:00:00,CLOSED,2014-09-25 06:00:12,TRESPASS,W20 / 84 MASSACHUSETTS AVE,HOMELESS PERSON ISSUED A TRESPASS WARNING. ,
2014-09-25 09:15:00,OPEN,2014-09-25 09:15:35,FRAUD,NW35 / 235 ALBANY ST,REPORT OF FRAUD BY CREDIT CARD ,
2014-09-08 07:39:00,CLOSED,2014-09-26 07:35:45,LARCENY,M4 / 182 MEMORIAL DR,TOOL STOLEN. ,
2014-09-26 17:48:00,REFERRED,2014-09-26 17:58:08,STALKING,OFF CAMPUS ,MIT STAFF PERSON REPORTS BEING STALKED AT HIS/HER HOME OFF CAMPUS. REFERRED TO HIS/HER LOCAL POLICE DEPARTMENT TOO. ,
2014-09-25 23:00:00,CLOSED,2014-09-27 11:12:00,LARCENY,W61 / 450 MEMORIAL DR,LARCENY OF A BICYCLE ,
2014-09-27 21:29:00,CLOSED,2014-09-27 21:29:39,LARCENY,W20 / 84 MASSACHUSETTS AVE,LARCENY OF A BICYCLE ,
2014-10-01 10:40:00,CLOSED,2014-10-02 13:40:29,MALICIOUS DAMAGE,E15 / 20 AMES ST ,PARTY REPORTS HIS BIKE TIRES WERE SLASHED. ,
2014-10-02 09:30:00,REPORT NEEDED,2014-10-02 17:01:27,LARCENY,M68 / 31 AMES ST ,LARCENY OF LAPTOP #365 ,
2014-10-02 07:45:00,CLOSED,2014-10-03 08:09:50,SUSPICIOUS,M3 / 33 MASSACHUSETTS AVE,REPORT OF SUSPICIOUS MALE IN THE AREA THE DAY   BEFORE. ,
2014-10-02 19:00:00,CLOSED,2014-10-03 10:25:43,SUSPICIOUS,E62 / 100 MAIN ST,REPORT OF DOOR FOUND OPEN. FACILITIES WORK ,
